tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,postal code,year,month,birth year,gender
599,01/11/2020 00:34:07,01/11/2020 00:44:07,81,Chinatown T Stop,42.352409,-71.062679,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,2696,Subscriber,,2020,11,,
758,01/11/2020 00:34:13,01/11/2020 00:46:52,440,Boston Landing,42.35656092,-71.14167538,440,Boston Landing,42.35656092,-71.14167538,5384,Customer,2186,2020,11,,
241,01/11/2020 00:34:24,01/11/2020 00:38:26,19,Park Dr at Buswell St,42.347241,-71.105301,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,5326,Subscriber,2215,2020,11,,
187,01/11/2020 00:34:41,01/11/2020 00:37:48,100,Davis Square,42.396969,-71.123024,114,Teele Square,42.40231703,-71.12671129,6281,Subscriber,2143,2020,11,,
676,01/11/2020 00:34:59,01/11/2020 00:46:16,344,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,174,Washington St at Brock St,42.34895285,-71.16031677,2656,Subscriber,2135,2020,11,,
1244,01/11/2020 00:35:27,01/11/2020 00:56:12,332,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,364,Tremont St at Northampton St,42.3388956,-71.08149976,4209,Subscriber,2038,2020,11,,
476,01/11/2020 00:36:56,01/11/2020 00:44:52,440,Boston Landing,42.35656092,-71.14167538,440,Boston Landing,42.35656092,-71.14167538,2045,Customer,,2020,11,,
404,01/11/2020 00:37:00,01/11/2020 00:43:44,440,Boston Landing,42.35656092,-71.14167538,440,Boston Landing,42.35656092,-71.14167538,3879,Customer,,2020,11,,
410,01/11/2020 00:37:08,01/11/2020 00:43:59,440,Boston Landing,42.35656092,-71.14167538,440,Boston Landing,42.35656092,-71.14167538,6074,Customer,,2020,11,,
501,01/11/2020 00:39:41,01/11/2020 00:48:03,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,5812,Customer,2481,2020,11,,
861,01/11/2020 00:40:12,01/11/2020 00:54:34,404,Mass Ave T Station,42.34135616,-71.08336953,200,Washington St at Melnea Cass Blvd,42.332817,-71.081198,4953,Customer,1772,2020,11,,
695,01/11/2020 00:40:16,01/11/2020 00:51:51,184,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36912158,-71.11638672,6000,Customer,2139,2020,11,,
836,01/11/2020 00:40:21,01/11/2020 00:54:18,404,Mass Ave T Station,42.34135616,-71.08336953,200,Washington St at Melnea Cass Blvd,42.332817,-71.081198,2465,Customer,1772,2020,11,,
211,01/11/2020 00:41:48,01/11/2020 00:45:19,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,6299,Subscriber,,2020,11,,
168,01/11/2020 00:42:31,01/11/2020 00:45:19,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,4734,Subscriber,,2020,11,,
351,01/11/2020 00:42:56,01/11/2020 00:48:48,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,3181,Customer,,2020,11,,
195,01/11/2020 00:42:59,01/11/2020 00:46:14,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,179,MIT Vassar St,42.35560121,-71.10394478,3790,Subscriber,2139,2020,11,,
1776,01/11/2020 00:43:40,01/11/2020 01:13:16,47,Cross St at Hanover St,42.362811,-71.056067,55,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,2160,Subscriber,2115,2020,11,,
857,01/11/2020 00:44:46,01/11/2020 00:59:03,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,185,Third at Binney,42.36544486,-71.08277142,5020,Customer,0,2020,11,,
523,01/11/2020 00:46:18,01/11/2020 00:55:01,177,University Park,42.36264779,-71.10006094,471,MIT Carleton St at Amherst St,42.36054174,-71.08669817,4375,Subscriber,2142,2020,11,,
496,01/11/2020 00:46:36,01/11/2020 00:54:52,177,University Park,42.36264779,-71.10006094,471,MIT Carleton St at Amherst St,42.36054174,-71.08669817,5547,Subscriber,2139,2020,11,,
259,01/11/2020 00:46:57,01/11/2020 00:51:16,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,3065,Subscriber,2139,2020,11,,
135,01/11/2020 00:49:54,01/11/2020 00:52:10,194,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,235,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,2076,Subscriber,2145,2020,11,,
49119,01/11/2020 00:49:56,01/11/2020 13:28:36,33,Kenmore Square,42.348706,-71.097009,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,5516,Customer,90720,2020,11,,
883,01/11/2020 00:49:57,01/11/2020 01:04:41,33,Kenmore Square,42.348706,-71.097009,66,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,3429,Customer,90720,2020,11,,
872,01/11/2020 00:50:04,01/11/2020 01:04:36,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,93,JFK/UMass T Stop,42.32033974,-71.05118036,5715,Customer,,2020,11,,
861,01/11/2020 00:50:18,01/11/2020 01:04:40,33,Kenmore Square,42.348706,-71.097009,66,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,5840,Subscriber,2446,2020,11,,
936,01/11/2020 00:50:26,01/11/2020 01:06:03,71,Conway Park - Somerville Avenue,42.383405,-71.107593,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,3716,Subscriber,2138,2020,11,,
605,01/11/2020 00:50:38,01/11/2020 01:00:43,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,446,700 Commonwealth Ave.,42.34960945,-71.10391524,6123,Subscriber,48000,2020,11,,
288,01/11/2020 00:50:45,01/11/2020 00:55:33,23,Boston City Hall - 28 State St,42.35892,-71.057629,476,Boylston St at Charles St,42.35257609,-71.06764405,5302,Subscriber,54911,2020,11,,
388,01/11/2020 00:52:20,01/11/2020 00:58:49,192,Purchase St at Pearl St,42.354659,-71.053181,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,2921,Customer,2113,2020,11,,
451,01/11/2020 00:52:35,01/11/2020 01:00:07,272,Shawmut T Stop,42.292917,-71.06575,410,Adams St at Lonsdale St,42.29167943,-71.05726346,6053,Customer,6,2020,11,,
38112,01/11/2020 00:52:40,01/11/2020 10:27:53,272,Shawmut T Stop,42.292917,-71.06575,272,Shawmut T Stop,42.292917,-71.06575,3918,Subscriber,6,2020,11,,
353,01/11/2020 00:53:36,01/11/2020 00:59:30,78,Union Square - Somerville,42.379584,-71.095236,408,Edgerly Education Center,42.38717463,-71.08714389,3586,Subscriber,2145,2020,11,,
1036,01/11/2020 00:56:32,01/11/2020 01:13:48,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,183,Alewife MBTA at Steel Place,42.39558846,-71.14260614,4390,Subscriber,2140,2020,11,,
422,01/11/2020 00:56:37,01/11/2020 01:03:39,149,175 N Harvard St,42.363796,-71.129164,17,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,4944,Customer,2163,2020,11,,
397,01/11/2020 00:57:07,01/11/2020 01:03:45,149,175 N Harvard St,42.363796,-71.129164,17,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,2390,Customer,2163,2020,11,,
287,01/11/2020 00:58:50,01/11/2020 01:03:38,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,4451,Subscriber,2215,2020,11,,
674,01/11/2020 00:59:07,01/11/2020 01:10:21,103,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,403,Marion St at Harvard St,42.33978053,-71.1213335,2997,Customer,2143,2020,11,,
1264,01/11/2020 00:59:07,01/11/2020 01:20:12,335,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,3771,Subscriber,2139,2020,11,,
399,01/11/2020 00:59:50,01/11/2020 01:06:30,5,Northeastern University - North Parking Lot,42.341814,-71.090179,21,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,3468,Customer,,2020,11,,
1405,01/11/2020 00:59:58,01/11/2020 01:23:23,4,Tremont St at E Berkeley St,42.345392,-71.069616,4,Tremont St at E Berkeley St,42.345392,-71.069616,6283,Customer,,2020,11,,
552,01/11/2020 01:00:23,01/11/2020 01:09:35,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,2712,Subscriber,2451,2020,11,,
606,01/11/2020 01:00:37,01/11/2020 01:10:44,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,2974,Customer,60021,2020,11,,
637,01/11/2020 01:01:01,01/11/2020 01:11:38,185,Third at Binney,42.36544486,-71.08277142,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,5437,Subscriber,2139,2020,11,,
626,01/11/2020 01:01:05,01/11/2020 01:11:31,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,35,Arch St at Franklin St,42.35533502,-71.05822917,2398,Customer,2110,2020,11,,
517,01/11/2020 01:01:13,01/11/2020 01:09:50,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,2628,Customer,2451,2020,11,,
677,01/11/2020 01:01:17,01/11/2020 01:12:34,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,35,Arch St at Franklin St,42.35533502,-71.05822917,3387,Customer,2110,2020,11,,
495,01/11/2020 01:01:26,01/11/2020 01:09:41,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,4964,Customer,2451,2020,11,,
809,01/11/2020 01:01:36,01/11/2020 01:15:05,117,Binney St / Sixth St,42.36608797,-71.08633604,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,5848,Subscriber,2139,2020,11,,
