tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,year,month
576,01/12/2019 04:41:01,01/12/2019 04:50:38,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,21,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,5216,Customer,1999,2,2019,12
538,01/12/2019 04:44:26,01/12/2019 04:53:25,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,379,Tremont St at W. Dedham St,42.34254914,-71.07421449,2763,Customer,2000,2,2019,12
643,01/12/2019 04:47:11,01/12/2019 04:57:54,226,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,15,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,3055,Subscriber,1969,2,2019,12
913,01/12/2019 04:57:49,01/12/2019 05:13:02,346,Cleveland Circle,42.33554308,-71.1506152,103,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,5819,Subscriber,1996,2,2019,12
2263,01/12/2019 05:19:02,01/12/2019 05:56:46,174,Washington St at Brock St,42.34895285,-71.16031677,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,4109,Subscriber,1956,1,2019,12
358,01/12/2019 05:29:34,01/12/2019 05:35:32,352,Ring Rd,42.34827839,-71.08044855,39,Washington St at Rutland St,42.3385146,-71.07404083,5537,Subscriber,1987,2,2019,12
1403,01/12/2019 05:51:51,01/12/2019 06:15:14,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,30,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,6139,Subscriber,1995,1,2019,12
403,01/12/2019 06:16:10,01/12/2019 06:22:53,338,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,226,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,4107,Subscriber,1995,1,2019,12
727,01/12/2019 06:16:56,01/12/2019 06:29:04,409,Elm St at White St,42.38952436,-71.1169414,183,Alewife MBTA at Steel Place,42.39558846,-71.14260614,4716,Customer,1993,1,2019,12
493,01/12/2019 06:17:08,01/12/2019 06:25:21,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,5457,Subscriber,1987,1,2019,12
590,01/12/2019 06:18:33,01/12/2019 06:28:23,377,Perry Park,42.37927325,-71.10341903,149,175 N Harvard St,42.363796,-71.129164,3523,Subscriber,1968,1,2019,12
872,01/12/2019 06:21:55,01/12/2019 06:36:27,149,175 N Harvard St,42.363796,-71.129164,71,Conway Park - Somerville Avenue,42.383405,-71.107593,5891,Subscriber,1986,2,2019,12
601,01/12/2019 06:24:10,01/12/2019 06:34:12,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,3442,Customer,1969,0,2019,12
400,01/12/2019 06:26:10,01/12/2019 06:32:50,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,42,Boylston St at Arlington St,42.3525878,-71.06764905,3603,Subscriber,1983,1,2019,12
255,01/12/2019 06:27:25,01/12/2019 06:31:41,402,Washington St at Griggs Rd,42.33833424,-71.1305093,86,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,2601,Subscriber,1978,1,2019,12
460,01/12/2019 06:28:22,01/12/2019 06:36:03,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193,-71.04436085,3792,Customer,1969,0,2019,12
537,01/12/2019 06:38:28,01/12/2019 06:47:25,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,21,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,3303,Subscriber,1986,1,2019,12
519,01/12/2019 06:39:04,01/12/2019 06:47:44,179,MIT Vassar St,42.35560121,-71.10394478,189,Kendall T,42.36242784,-71.08495474,6080,Subscriber,1987,1,2019,12
452,01/12/2019 06:48:52,01/12/2019 06:56:24,360,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,404,Mass Ave T Station,42.34135616,-71.08336953,3979,Subscriber,1992,1,2019,12
386,01/12/2019 06:52:46,01/12/2019 06:59:12,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,180,Mt Auburn,42.37478629,-71.13320231,5736,Subscriber,1989,1,2019,12
246,01/12/2019 06:54:11,01/12/2019 06:58:17,404,Mass Ave T Station,42.34135616,-71.08336953,51,Washington St at Lenox St,42.33509899,-71.07903779,4888,Subscriber,1946,1,2019,12
336,01/12/2019 06:59:16,01/12/2019 07:04:53,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,4948,Subscriber,1996,1,2019,12
711,01/12/2019 07:09:20,01/12/2019 07:21:12,169,Edwards Playground - Main St at Eden St,42.378965,-71.068607,236,Assembly Square T,42.39223284,-71.07746601,4110,Subscriber,1992,2,2019,12
832,01/12/2019 07:10:32,01/12/2019 07:24:25,358,Medford St at Charlestown BCYF,42.38042947,-71.06055722,81,Chinatown T Stop,42.352409,-71.062679,4421,Subscriber,1991,2,2019,12
236,01/12/2019 07:10:44,01/12/2019 07:14:40,381,Inman Square at Springfield St.,42.37438409,-71.10015746,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,3981,Subscriber,1996,2,2019,12
185,01/12/2019 07:10:59,01/12/2019 07:14:05,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,6097,Subscriber,1979,2,2019,12
470,01/12/2019 07:14:58,01/12/2019 07:22:49,19,Park Dr at Buswell St,42.347241,-71.105301,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,3780,Subscriber,1981,1,2019,12
626,01/12/2019 07:18:48,01/12/2019 07:29:14,332,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,15,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,1673,Subscriber,1998,1,2019,12
607,01/12/2019 07:21:24,01/12/2019 07:31:31,11,Longwood Ave at Binney St,42.338629,-71.1065,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,2800,Subscriber,1988,2,2019,12
389,01/12/2019 07:23:26,01/12/2019 07:29:55,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,189,Kendall T,42.36242784,-71.08495474,5019,Subscriber,1992,2,2019,12
334,01/12/2019 07:33:00,01/12/2019 07:38:35,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,2935,Subscriber,1988,2,2019,12
254,01/12/2019 07:33:00,01/12/2019 07:37:15,159,S Huntington Ave at Heath St,42.32760387,-71.1108917,125,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,5092,Subscriber,1990,1,2019,12
70,01/12/2019 07:33:37,01/12/2019 07:34:48,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,5038,Subscriber,1998,1,2019,12
542,01/12/2019 07:34:59,01/12/2019 07:44:01,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,5457,Subscriber,1997,1,2019,12
915,01/12/2019 07:35:09,01/12/2019 07:50:25,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601,-71.09627098,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,2545,Subscriber,1998,1,2019,12
338,01/12/2019 07:37:08,01/12/2019 07:42:47,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,6086,Subscriber,1993,1,2019,12
379,01/12/2019 07:37:37,01/12/2019 07:43:57,26,Washington St at Waltham St,42.34155985,-71.06886953,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,3353,Subscriber,1959,1,2019,12
369,01/12/2019 07:38:01,01/12/2019 07:44:10,17,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,149,175 N Harvard St,42.363796,-71.129164,2717,Subscriber,1989,1,2019,12
550,01/12/2019 07:40:22,01/12/2019 07:49:33,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,3822,Subscriber,1980,1,2019,12
598,01/12/2019 07:44:53,01/12/2019 07:54:52,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,4735,Subscriber,1970,2,2019,12
166,01/12/2019 07:47:39,01/12/2019 07:50:26,102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,100,Davis Square,42.396969,-71.123024,3471,Subscriber,1992,2,2019,12
323,01/12/2019 07:55:56,01/12/2019 08:01:20,11,Longwood Ave at Binney St,42.338629,-71.1065,342,Boylston St at Jersey St,42.34465063,-71.09732501,2589,Customer,1992,1,2019,12
1844,01/12/2019 07:56:56,01/12/2019 08:27:40,239,Community Path at Cedar Street,42.39407224,-71.11133695,224,Fresh Pond Reservation,42.38267828,-71.14347895,3349,Subscriber,1990,2,2019,12
532,01/12/2019 07:59:27,01/12/2019 08:08:19,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,4109,Customer,1991,2,2019,12
